Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,105.5,-116.0,-90.0,top
C2,100nF,C_0402_1005Metric,112.11,-118.2,180.0,top
C3,22pF,C_0402_1005Metric,106.51,-118.1,180.0,top
Q1,AO3401A,SOT-23,104.0,-100.7,180.0,top
Q2,AO3401A,SOT-23,104.0,-104.5,180.0,top
R1,100K,R_0402_1005Metric,113.2,-115.9,180.0,top
R2,10K,R_0402_1005Metric,105.0,-114.4,0.0,top
R3,10K,R_0402_1005Metric,112.09,-124.8,180.0,top
R4,10K,R_0402_1005Metric,108.9,-124.8,0.0,top
U1,74LVC2G74,TSSOP-8_3x3mm_P0.65mm,109.1,-114.9,90.0,top
U2,PCF8563T,SOIC-8_3.9x4.9mm_P1.27mm,109.3,-121.5,270.0,top
Y1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,104.2,-120.3,-90.0,top
